Tahun,Bulan,Hari,Tanggal,Pajak
1996,2,27,1996-02-27,75036696.0
1996,2,28,1996-02-28,78484696.0
1996,2,29,1996-02-29,82024910.0
1996,3,1,1996-03-01,6819191.5
1996,3,2,1996-03-02,9328023.0
1996,3,3,1996-03-03,11854571.0
1996,3,4,1996-03-04,14400833.0
1996,3,5,1996-03-05,16968810.0
1996,3,6,1996-03-06,19560630.0
1996,3,7,1996-03-07,22178374.0
1996,3,8,1996-03-08,24824222.0
1996,3,9,1996-03-09,27500476.0
1996,3,10,1996-03-10,30209406.0
1996,3,11,1996-03-11,32953452.0
1996,3,12,1996-03-12,35735116.0
1996,3,13,1996-03-13,38556970.0
1996,3,14,1996-03-14,41421748.0
1996,3,15,1996-03-15,44332196.0
1996,3,16,1996-03-16,47291324.0
1996,3,17,1996-03-17,50302172.0
1996,3,18,1996-03-18,53367964.0
1996,3,19,1996-03-19,56492050.0
1996,3,20,1996-03-20,59677972.0
1996,3,21,1996-03-21,62929456.0
1996,3,22,1996-03-22,66250424.0
1996,3,23,1996-03-23,69645010.0
1996,3,24,1996-03-24,73117544.0
1996,3,25,1996-03-25,76672630.0
1996,3,26,1996-03-26,80315140.0
1996,3,27,1996-03-27,84050210.0
1996,3,28,1996-03-28,87883304.0
1996,3,29,1996-03-29,91820184.0
1996,3,30,1996-03-30,95866984.0
1996,3,31,1996-03-31,100030250.0
1996,4,1,1996-04-01,10365050.0
1996,4,2,1996-04-02,13652351.0
1996,4,3,1996-04-03,16963958.0
1996,4,4,1996-04-04,20302488.0
1996,4,5,1996-04-05,23670608.0
1996,4,6,1996-04-06,27071072.0
1996,4,7,1996-04-07,30506658.0
1996,4,8,1996-04-08,33980300.0
1996,4,9,1996-04-09,37494964.0
1996,4,10,1996-04-10,41053730.0
1996,4,11,1996-04-11,44659796.0
1996,4,12,1996-04-12,48316480.0
1996,4,13,1996-04-13,52027240.0
1996,4,14,1996-04-14,55795676.0
1996,4,15,1996-04-15,59625484.0
1996,4,16,1996-04-16,63520630.0
1996,4,17,1996-04-17,67485176.0
1996,4,18,1996-04-18,71523430.0
1996,4,19,1996-04-19,75639880.0
1996,4,20,1996-04-20,79839230.0
1996,4,21,1996-04-21,84126480.0
1996,4,22,1996-04-22,88506860.0
1996,4,23,1996-04-23,92985890.0
1996,4,24,1996-04-24,97569384.0
1996,4,25,1996-04-25,102263510.0
1996,4,26,1996-04-26,107074776.0
1996,4,27,1996-04-27,112010090.0
1996,4,28,1996-04-28,117076744.0
1996,4,29,1996-04-29,122282510.0
1996,4,30,1996-04-30,127635576.0
1996,5,1,1996-05-01,13382020.0
1996,5,2,1996-05-02,17060560.0
1996,5,3,1996-05-03,20767618.0
1996,5,4,1996-05-04,24506190.0
1996,5,5,1996-05-05,28279262.0
1996,5,6,1996-05-06,32089934.0
1996,5,7,1996-05-07,35941370.0
1996,5,8,1996-05-08,39836876.0
1996,5,9,1996-05-09,43779844.0
1996,5,10,1996-05-10,47773732.0
1996,5,11,1996-05-11,51822190.0
1996,5,12,1996-05-12,55928990.0
1996,5,13,1996-05-13,60098064.0
1996,5,14,1996-05-14,64333492.0
1996,5,15,1996-05-15,68639540.0
1996,5,16,1996-05-16,73020664.0
1996,5,17,1996-05-17,77481500.0
1996,5,18,1996-05-18,82027010.0
1996,5,19,1996-05-19,86662310.0
1996,5,20,1996-05-20,91392790.0
1996,5,21,1996-05-21,96224136.0
1996,5,22,1996-05-22,101162360.0
1996,5,23,1996-05-23,106213780.0
1996,5,24,1996-05-24,111385060.0
1996,5,25,1996-05-25,116683240.0
1996,5,26,1996-05-26,122115820.0
1996,5,27,1996-05-27,127690700.0
1996,5,28,1996-05-28,133416290.0
1996,5,29,1996-05-29,139301470.0
1996,5,30,1996-05-30,145355710.0
1996,5,31,1996-05-31,151589060.0
1996,6,1,1996-06-01,19264890.0
1996,6,2,1996-06-02,23877144.0
1996,6,3,1996-06-03,28527082.0
1996,6,4,1996-06-04,33218404.0
1996,6,5,1996-06-05,37954970.0
1996,6,6,1996-06-06,42740704.0
1996,6,7,1996-06-07,47579596.0
1996,6,8,1996-06-08,52475810.0
1996,6,9,1996-06-09,57433644.0
1996,6,10,1996-06-10,62457610.0
1996,6,11,1996-06-11,67552344.0
1996,6,12,1996-06-12,72722616.0
1996,6,13,1996-06-13,77973440.0
1996,6,14,1996-06-14,83310056.0
1996,6,15,1996-06-15,88737910.0
1996,6,16,1996-06-16,94262740.0
1996,6,17,1996-06-17,99890504.0
1996,6,18,1996-06-18,105627460.0
1996,6,19,1996-06-19,111480216.0
1996,6,20,1996-06-20,117455780.0
1996,6,21,1996-06-21,123561384.0
1996,6,22,1996-06-22,129804790.0
1996,6,23,1996-06-23,136194100.0
1996,6,24,1996-06-24,142737900.0
1996,6,25,1996-06-25,149445310.0
1996,6,26,1996-06-26,156325970.0
1996,6,27,1996-06-27,163390080.0
1996,6,28,1996-06-28,170648430.0
1996,6,29,1996-06-29,178112560.0
1996,6,30,1996-06-30,185794670.0
1996,7,1,1996-07-01,23857498.0
1996,7,2,1996-07-02,28854470.0
1996,7,3,1996-07-03,33894612.0
1996,7,4,1996-07-04,38981900.0
1996,7,5,1996-07-05,44120584.0
1996,7,6,1996-07-06,49314930.0
1996,7,7,1996-07-07,54569400.0
1996,7,8,1996-07-08,59888540.0
1996,7,9,1996-07-09,65277092.0
1996,7,10,1996-07-10,70740030.0
1996,7,11,1996-07-11,76282456.0
1996,7,12,1996-07-12,81909580.0
1996,7,13,1996-07-13,87627060.0
1996,7,14,1996-07-14,93440660.0
1996,7,15,1996-07-15,99356410.0
1996,7,16,1996-07-16,105380680.0
1996,7,17,1996-07-17,111520100.0
1996,7,18,1996-07-18,117781624.0
1996,7,19,1996-07-19,124172616.0
1996,7,20,1996-07-20,130700830.0
1996,7,21,1996-07-21,137374350.0
1996,7,22,1996-07-22,144201810.0
1996,7,23,1996-07-23,151192270.0
1996,7,24,1996-07-24,158355330.0
1996,7,25,1996-07-25,165701170.0
1996,7,26,1996-07-26,173240530.0
1996,7,27,1996-07-27,180984820.0
1996,7,28,1996-07-28,188946160.0
1996,7,29,1996-07-29,197137420.0
1996,7,30,1996-07-30,205572300.0
1996,7,31,1996-07-31,214265300.0
1996,8,1,1996-08-01,31021978.0
1996,8,2,1996-08-02,36730572.0
1996,8,3,1996-08-03,42491340.0
1996,8,4,1996-08-04,48308996.0
1996,8,5,1996-08-05,54188384.0
1996,8,6,1996-08-06,60134444.0
1996,8,7,1996-08-07,66152370.0
1996,8,8,1996-08-08,72247464.0
1996,8,9,1996-08-09,78425256.0
1996,8,10,1996-08-10,84691496.0
1996,8,11,1996-08-11,91052136.0
1996,8,12,1996-08-12,97513380.0
1996,8,13,1996-08-13,104081750.0
1996,8,14,1996-08-14,110764010.0
1996,8,15,1996-08-15,117567240.0
1996,8,16,1996-08-16,124498880.0
1996,8,17,1996-08-17,131566750.0
1996,8,18,1996-08-18,138779040.0
1996,8,19,1996-08-19,146144400.0
1996,8,20,1996-08-20,153671950.0
1996,8,21,1996-08-21,161371260.0
1996,8,22,1996-08-22,169252500.0
1996,8,23,1996-08-23,177326340.0
1996,8,24,1996-08-24,185604100.0
1996,8,25,1996-08-25,194097840.0
1996,8,26,1996-08-26,202820270.0
1996,8,27,1996-08-27,211784860.0
1996,8,28,1996-08-28,221006030.0
1996,8,29,1996-08-29,230499000.0
1996,8,30,1996-08-30,240279940.0
1996,8,31,1996-08-31,250366100.0
1996,9,1,1996-09-01,42343960.0
1996,9,2,1996-09-02,49218180.0
1996,9,3,1996-09-03,56159110.0
1996,9,4,1996-09-04,63172536.0
1996,9,5,1996-09-05,70264290.0
1996,9,6,1996-09-06,77440504.0
1996,9,7,1996-09-07,84707530.0
1996,9,8,1996-09-08,92071960.0
1996,9,9,1996-09-09,99540480.0
1996,9,10,1996-09-10,107120216.0
1996,9,11,1996-09-11,114818584.0
1996,9,12,1996-09-12,122643224.0
1996,9,13,1996-09-13,130602104.0
1996,9,14,1996-09-14,138703710.0
1996,9,15,1996-09-15,146956800.0
1996,9,16,1996-09-16,155370540.0
1996,9,17,1996-09-17,163954740.0
1996,9,18,1996-09-18,172719540.0
1996,9,19,1996-09-19,181675700.0
1996,9,20,1996-09-20,190834600.0
1996,9,21,1996-09-21,200208140.0
1996,9,22,1996-09-22,209809010.0
1996,9,23,1996-09-23,219650560.0
1996,9,24,1996-09-24,229746990.0
1996,9,25,1996-09-25,240113310.0
1996,9,26,1996-09-26,250765460.0
1996,9,27,1996-09-27,261720370.0
1996,9,28,1996-09-28,272995940.0
1996,9,29,1996-09-29,284611360.0
1996,9,30,1996-09-30,296586900.0
1996,10,1,1996-10-01,50247444.0
1996,10,2,1996-10-02,57473564.0
1996,10,3,1996-10-03,64774260.0
1996,10,4,1996-10-04,72155860.0
1996,10,5,1996-10-05,79624530.0
1996,10,6,1996-10-06,87186856.0
1996,10,7,1996-10-07,94849670.0
1996,10,8,1996-10-08,102620056.0
1996,10,9,1996-10-09,110505224.0
1996,10,10,1996-10-10,118512856.0
1996,10,11,1996-10-11,126650920.0
1996,10,12,1996-10-12,134927820.0
1996,10,13,1996-10-13,143352100.0
1996,10,14,1996-10-14,151932900.0
1996,10,15,1996-10-15,160679820.0
1996,10,16,1996-10-16,169602860.0
1996,10,17,1996-10-17,178712660.0
1996,10,18,1996-10-18,188020260.0
1996,10,19,1996-10-19,197537380.0
1996,10,20,1996-10-20,207276500.0
1996,10,21,1996-10-21,217250530.0
1996,10,22,1996-10-22,227473420.0
1996,10,23,1996-10-23,237959860.0
1996,10,24,1996-10-24,248725260.0
1996,10,25,1996-10-25,259786130.0
1996,10,26,1996-10-26,271159970.0
1996,10,27,1996-10-27,282865300.0
1996,10,28,1996-10-28,294921920.0
1996,10,29,1996-10-29,307350820.0
1996,10,30,1996-10-30,320174370.0
1996,10,31,1996-10-31,333416400.0
1996,11,1,1996-11-01,66745384.0
1996,11,2,1996-11-02,75284210.0
1996,11,3,1996-11-03,83917144.0
1996,11,4,1996-11-04,92651550.0
1996,11,5,1996-11-05,101495210.0
1996,11,6,1996-11-06,110455920.0
1996,11,7,1996-11-07,119541944.0
1996,11,8,1996-11-08,128761840.0
1996,11,9,1996-11-09,138124480.0
1996,11,10,1996-11-10,147639230.0
1996,11,11,1996-11-11,157315760.0
1996,11,12,1996-11-12,167164220.0
1996,11,13,1996-11-13,177195280.0
1996,11,14,1996-11-14,187419970.0
1996,11,15,1996-11-15,197850100.0
1996,11,16,1996-11-16,208497920.0
1996,11,17,1996-11-17,219376430.0
1996,11,18,1996-11-18,230499380.0
1996,11,19,1996-11-19,241881100.0
1996,11,20,1996-11-20,253536940.0
1996,11,21,1996-11-21,265483000.0
1996,11,22,1996-11-22,277736350.0
1996,11,23,1996-11-23,290315070.0
1996,11,24,1996-11-24,303238370.0
1996,11,25,1996-11-25,316526700.0
1996,11,26,1996-11-26,330201630.0
1996,11,27,1996-11-27,344286180.0
1996,11,28,1996-11-28,358804900.0
1996,11,29,1996-11-29,373783840.0
1996,11,30,1996-11-30,389250750.0
1996,12,1,1996-12-01,77445704.0
1996,12,2,1996-12-02,86298270.0
1996,12,3,1996-12-03,95255120.0
1996,12,4,1996-12-04,104324110.0
1996,12,5,1996-12-05,113513400.0
1996,12,6,1996-12-06,122831470.0
1996,12,7,1996-12-07,132287020.0
1996,12,8,1996-12-08,141889180.0
1996,12,9,1996-12-09,151647540.0
1996,12,10,1996-12-10,161572110.0
1996,12,11,1996-12-11,171673180.0
1996,12,12,1996-12-12,181961780.0
1996,12,13,1996-12-13,192449230.0
1996,12,14,1996-12-14,203147680.0
1996,12,15,1996-12-15,214069700.0
1996,12,16,1996-12-16,225228660.0
1996,12,17,1996-12-17,236638580.0
1996,12,18,1996-12-18,248314260.0
1996,12,19,1996-12-19,260271410.0
1996,12,20,1996-12-20,272526560.0
1996,12,21,1996-12-21,285097340.0
1996,12,22,1996-12-22,298002270.0
1996,12,23,1996-12-23,311261020.0
1996,12,24,1996-12-24,324894600.0
1996,12,25,1996-12-25,338925250.0
1996,12,26,1996-12-26,353376500.0
1996,12,27,1996-12-27,368273630.0
1996,12,28,1996-12-28,383643360.0
1996,12,29,1996-12-29,399514200.0
1996,12,30,1996-12-30,415916700.0
1996,12,31,1996-12-31,432883070.0
1997,1,1,1997-01-01,3845774.8
1997,1,2,1997-01-02,5613551.5
1997,1,3,1997-01-03,7393120.5
1997,1,4,1997-01-04,9185855.0
1997,1,5,1997-01-05,10993178.0
1997,1,6,1997-01-06,12816506.0
1997,1,7,1997-01-07,14657345.0
1997,1,8,1997-01-08,16517204.0
1997,1,9,1997-01-09,18397668.0
1997,1,10,1997-01-10,20300338.0
1997,1,11,1997-01-11,22226884.0
1997,1,12,1997-01-12,24179040.0
1997,1,13,1997-01-13,26158600.0
1997,1,14,1997-01-14,28167444.0
1997,1,15,1997-01-15,30207494.0
1997,1,16,1997-01-16,32280788.0
1997,1,17,1997-01-17,34389460.0
1997,1,18,1997-01-18,36535690.0
1997,1,19,1997-01-19,38721836.0
1997,1,20,1997-01-20,40950300.0
1997,1,21,1997-01-21,43223660.0
1997,1,22,1997-01-22,45544610.0
1997,1,23,1997-01-23,47915970.0
1997,1,24,1997-01-24,50340744.0
1997,1,25,1997-01-25,52822068.0
1997,1,26,1997-01-26,55363296.0
1997,1,27,1997-01-27,57967940.0
1997,1,28,1997-01-28,60639736.0
1997,1,29,1997-01-29,63382636.0
1997,1,30,1997-01-30,66200850.0
1997,1,31,1997-01-31,69098820.0
1997,2,1,1997-02-01,7300692.5
1997,2,2,1997-02-02,10143836.0
1997,2,3,1997-02-03,13006771.0
1997,2,4,1997-02-04,15891718.0
1997,2,5,1997-02-05,18800974.0
1997,2,6,1997-02-06,21736864.0
1997,2,7,1997-02-07,24701800.0
1997,2,8,1997-02-08,27698258.0
1997,2,9,1997-02-09,30728776.0
1997,2,10,1997-02-10,33795980.0
1997,2,11,1997-02-11,36902600.0
1997,2,12,1997-02-12,40051424.0
1997,2,13,1997-02-13,43245400.0
1997,2,14,1997-02-14,46487560.0
1997,2,15,1997-02-15,49781080.0
1997,2,16,1997-02-16,53129270.0
1997,2,17,1997-02-17,56535596.0
1997,2,18,1997-02-18,60003660.0
1997,2,19,1997-02-19,63537264.0
1997,2,20,1997-02-20,67140410.0
1997,2,21,1997-02-21,70817256.0
1997,2,22,1997-02-22,74572250.0
1997,2,23,1997-02-23,78409990.0
1997,2,24,1997-02-24,82335400.0
1997,2,25,1997-02-25,86353640.0
1997,2,26,1997-02-26,90470184.0
1997,2,27,1997-02-27,94690820.0
1997,2,28,1997-02-28,99021656.0
1997,3,1,1997-03-01,8677869.0
1997,3,2,1997-03-02,11564380.0
1997,3,3,1997-03-03,14471880.0
1997,3,4,1997-03-04,17402696.0
1997,3,5,1997-03-05,20359178.0
1997,3,6,1997-03-06,23343688.0
1997,3,7,1997-03-07,26358746.0
1997,3,8,1997-03-08,29406850.0
1997,3,9,1997-03-09,32490588.0
1997,3,10,1997-03-10,35612708.0
1997,3,11,1997-03-11,38775948.0
1997,3,12,1997-03-12,41983256.0
1997,3,13,1997-03-13,45237628.0
1997,3,14,1997-03-14,48542184.0
1997,3,15,1997-03-15,51900224.0
1997,3,16,1997-03-16,55315136.0
1997,3,17,1997-03-17,58790520.0
1997,3,18,1997-03-18,62330092.0
1997,3,19,1997-03-19,65937784.0
1997,3,20,1997-03-20,69617730.0
1997,3,21,1997-03-21,73374260.0
1997,3,22,1997-03-22,77211940.0
1997,3,23,1997-03-23,81135590.0
1997,3,24,1997-03-24,85150280.0
1997,3,25,1997-03-25,89261384.0
1997,3,26,1997-03-26,93474560.0
1997,3,27,1997-03-27,97795840.0
1997,3,28,1997-03-28,102231576.0
1997,3,29,1997-03-29,106788520.0
1997,3,30,1997-03-30,111473860.0
1997,3,31,1997-03-31,116295180.0
1997,4,1,1997-04-01,13089886.0
1997,4,2,1997-04-02,16834554.0
1997,4,3,1997-04-03,20607900.0
1997,4,4,1997-04-04,24412898.0
1997,4,5,1997-04-05,28252606.0
1997,4,6,1997-04-06,32130144.0
1997,4,7,1997-04-07,36048764.0
1997,4,8,1997-04-08,40011796.0
1997,4,9,1997-04-09,44022650.0
1997,4,10,1997-04-10,48084890.0
1997,4,11,1997-04-11,52202184.0
1997,4,12,1997-04-12,56378380.0
1997,4,13,1997-04-13,60617424.0
1997,4,14,1997-04-14,64923456.0
1997,4,15,1997-04-15,69300800.0
1997,4,16,1997-04-16,73753980.0
1997,4,17,1997-04-17,78287730.0
1997,4,18,1997-04-18,82906984.0
1997,4,19,1997-04-19,87616950.0
1997,4,20,1997-04-20,92423090.0
1997,4,21,1997-04-21,97331160.0
1997,4,22,1997-04-22,102347240.0
1997,4,23,1997-04-23,107477690.0
1997,4,24,1997-04-24,112729260.0
1997,4,25,1997-04-25,118109090.0
1997,4,26,1997-04-26,123624730.0
1997,4,27,1997-04-27,129284180.0
1997,4,28,1997-04-28,135095920.0
1997,4,29,1997-04-29,141068940.0
1997,4,30,1997-04-30,147212800.0
1997,5,1,1997-05-01,16805234.0
1997,5,2,1997-05-02,20964962.0
1997,5,3,1997-05-03,25158202.0
1997,5,4,1997-05-04,29388386.0
1997,5,5,1997-05-05,33658896.0
1997,5,6,1997-05-06,37973236.0
1997,5,7,1997-05-07,42335120.0
1997,5,8,1997-05-08,46748220.0
1997,5,9,1997-05-09,51216390.0
1997,5,10,1997-05-10,55743690.0
1997,5,11,1997-05-11,60334250.0
1997,5,12,1997-05-12,64992396.0
1997,5,13,1997-05-13,69722620.0
1997,5,14,1997-05-14,74529600.0
1997,5,15,1997-05-15,79418260.0
1997,5,16,1997-05-16,84393704.0
1997,5,17,1997-05-17,89461330.0
1997,5,18,1997-05-18,94626750.0
1997,5,19,1997-05-19,99895870.0
1997,5,20,1997-05-20,105274910.0
1997,5,21,1997-05-21,110770450.0
1997,5,22,1997-05-22,116389360.0
1997,5,23,1997-05-23,122138910.0
1997,5,24,1997-05-24,128026850.0
1997,5,25,1997-05-25,134061330.0
1997,5,26,1997-05-26,140250940.0
1997,5,27,1997-05-27,146604830.0
1997,5,28,1997-05-28,153132720.0
1997,5,29,1997-05-29,159844860.0
1997,5,30,1997-05-30,166752210.0
1997,5,31,1997-05-31,173866370.0
1997,6,1,1997-06-01,24045556.0
1997,6,2,1997-06-02,29223232.0
1997,6,3,1997-06-03,34445060.0
1997,6,4,1997-06-04,39715290.0
1997,6,5,1997-06-05,45038216.0
1997,6,6,1997-06-06,50418268.0
1997,6,7,1997-06-07,55860040.0
1997,6,8,1997-06-08,61368252.0
1997,6,9,1997-06-09,66947772.0
1997,6,10,1997-06-10,72603784.0
1997,6,11,1997-06-11,78341490.0
1997,6,12,1997-06-12,84166320.0
1997,6,13,1997-06-13,90084030.0
1997,6,14,1997-06-14,96100664.0
1997,6,15,1997-06-15,102222376.0
1997,6,16,1997-06-16,108455736.0
1997,6,17,1997-06-17,114807560.0
1997,6,18,1997-06-18,121285060.0
1997,6,19,1997-06-19,127895800.0
1997,6,20,1997-06-20,134647760.0
1997,6,21,1997-06-21,141549300.0
1997,6,22,1997-06-22,148609260.0
1997,6,23,1997-06-23,155837010.0
1997,6,24,1997-06-24,163242420.0
1997,6,25,1997-06-25,170835920.0
1997,6,26,1997-06-26,178628600.0
1997,6,27,1997-06-27,186632260.0
1997,6,28,1997-06-28,194859300.0
1997,6,29,1997-06-29,203322930.0
1997,6,30,1997-06-30,212037300.0
1997,7,1,1997-07-01,29637622.0
1997,7,2,1997-07-02,35217036.0
1997,7,3,1997-07-03,40846924.0
1997,7,4,1997-07-04,46531836.0
1997,7,5,1997-07-05,52276550.0
1997,7,6,1997-07-06,58085850.0
1997,7,7,1997-07-07,63964812.0
1997,7,8,1997-07-08,69918600.0
1997,7,9,1997-07-09,75952630.0
1997,7,10,1997-07-10,82072410.0
1997,7,11,1997-07-11,88283820.0
1997,7,12,1997-07-12,94592900.0
1997,7,13,1997-07-13,101005930.0
1997,7,14,1997-07-14,107529496.0
1997,7,15,1997-07-15,114170540.0
1997,7,16,1997-07-16,120936296.0
1997,7,17,1997-07-17,127834350.0
1997,7,18,1997-07-18,134872620.0
1997,7,19,1997-07-19,142059600.0
1997,7,20,1997-07-20,149404050.0
1997,7,21,1997-07-21,156915340.0
1997,7,22,1997-07-22,164603280.0
1997,7,23,1997-07-23,172478320.0
1997,7,24,1997-07-24,180551440.0
1997,7,25,1997-07-25,188834320.0
1997,7,26,1997-07-26,197339330.0
1997,7,27,1997-07-27,206079570.0
1997,7,28,1997-07-28,215068960.0
1997,7,29,1997-07-29,224322300.0
1997,7,30,1997-07-30,233855340.0
1997,7,31,1997-07-31,243684830.0
1997,8,1,1997-08-01,38338190.0
1997,8,2,1997-08-02,44677852.0
1997,8,3,1997-08-03,51078420.0
1997,8,4,1997-08-04,57545256.0
1997,8,5,1997-08-05,64083816.0
1997,8,6,1997-08-06,70699670.0
1997,8,7,1997-08-07,77398630.0
1997,8,8,1997-08-08,84186730.0
1997,8,9,1997-08-09,91070240.0
1997,8,10,1997-08-10,98055610.0
1997,8,11,1997-08-11,105149640.0
1997,8,12,1997-08-12,112359384.0
1997,8,13,1997-08-13,119692216.0
1997,8,14,1997-08-14,127155840.0
1997,8,15,1997-08-15,134758340.0
1997,8,16,1997-08-16,142508140.0
1997,8,17,1997-08-17,150414200.0
1997,8,18,1997-08-18,158485840.0
1997,8,19,1997-08-19,166732980.0
1997,8,20,1997-08-20,175166000.0
1997,8,21,1997-08-21,183795820.0
1997,8,22,1997-08-22,192634060.0
1997,8,23,1997-08-23,201693020.0
1997,8,24,1997-08-24,210985730.0
1997,8,25,1997-08-25,220525860.0
1997,8,26,1997-08-26,230328060.0
1997,8,27,1997-08-27,240407870.0
1997,8,28,1997-08-28,250781730.0
1997,8,29,1997-08-29,261467180.0
1997,8,30,1997-08-30,272482800.0
1997,8,31,1997-08-31,283848500.0
1997,9,1,1997-09-01,52024460.0
1997,9,2,1997-09-02,59615860.0
1997,9,3,1997-09-03,67285040.0
1997,9,4,1997-09-04,75038400.0
1997,9,5,1997-09-05,82882670.0
1997,9,6,1997-09-06,90824700.0
1997,9,7,1997-09-07,98871630.0
1997,9,8,1997-09-08,107030790.0
1997,9,9,1997-09-09,115309920.0
1997,9,10,1997-09-10,123716936.0
1997,9,11,1997-09-11,132260240.0
1997,9,12,1997-09-12,140948420.0
1997,9,13,1997-09-13,149790740.0
1997,9,14,1997-09-14,158796580.0
1997,9,15,1997-09-15,167975940.0
1997,9,16,1997-09-16,177339460.0
1997,9,17,1997-09-17,186898080.0
1997,9,18,1997-09-18,196663460.0
1997,9,19,1997-09-19,206647800.0
1997,9,20,1997-09-20,216864100.0
1997,9,21,1997-09-21,227326030.0
1997,9,22,1997-09-22,238048020.0
1997,9,23,1997-09-23,249045400.0
1997,9,24,1997-09-24,260334400.0
1997,9,25,1997-09-25,271932220.0
1997,9,26,1997-09-26,283857100.0
1997,9,27,1997-09-27,296128480.0
1997,9,28,1997-09-28,308766940.0
1997,9,29,1997-09-29,321794430.0
1997,9,30,1997-09-30,335234340.0
1997,10,1,1997-10-01,61451132.0
1997,10,2,1997-10-02,69400010.0
1997,10,3,1997-10-03,77435960.0
1997,10,4,1997-10-04,85565880.0
1997,10,5,1997-10-05,93796800.0
1997,10,6,1997-10-06,102136136.0
1997,10,7,1997-10-07,110591510.0
1997,10,8,1997-10-08,119170880.0
1997,10,9,1997-10-09,127882530.0
1997,10,10,1997-10-10,136734990.0
1997,10,11,1997-10-11,145737390.0
1997,10,12,1997-10-12,154899090.0
1997,10,13,1997-10-13,164229900.0
1997,10,14,1997-10-14,173740200.0
1997,10,15,1997-10-15,183440880.0
1997,10,16,1997-10-16,193343340.0
1997,10,17,1997-10-17,203459680.0
1997,10,18,1997-10-18,213802500.0
1997,10,19,1997-10-19,224385180.0
1997,10,20,1997-10-20,235221870.0
1997,10,21,1997-10-21,246327550.0
1997,10,22,1997-10-22,257718030.0
1997,10,23,1997-10-23,269410080.0
1997,10,24,1997-10-24,281421540.0
1997,10,25,1997-10-25,293771230.0
1997,10,26,1997-10-26,306479300.0
1997,10,27,1997-10-27,319566980.0
1997,10,28,1997-10-28,333057000.0
1997,10,29,1997-10-29,346973540.0
1997,10,30,1997-10-30,361342300.0
1997,10,31,1997-10-31,376190700.0
1997,11,1,1997-11-01,81135610.0
1997,11,2,1997-11-02,90483030.0
1997,11,3,1997-11-03,99940136.0
1997,11,4,1997-11-04,109515080.0
1997,11,5,1997-11-05,119216424.0
1997,11,6,1997-11-06,129053140.0
1997,11,7,1997-11-07,139034530.0
1997,11,8,1997-11-08,149170110.0
1997,11,9,1997-11-09,159469950.0
1997,11,10,1997-11-10,169944580.0
1997,11,11,1997-11-11,180604980.0
1997,11,12,1997-11-12,191462580.0
1997,11,13,1997-11-13,202529440.0
1997,11,14,1997-11-14,213818240.0
1997,11,15,1997-11-15,225342300.0
1997,11,16,1997-11-16,237115660.0
1997,11,17,1997-11-17,249153120.0
1997,11,18,1997-11-18,261470160.0
1997,11,19,1997-11-19,274083400.0
1997,11,20,1997-11-20,287010180.0
1997,11,21,1997-11-21,300269020.0
1997,11,22,1997-11-22,313879420.0
1997,11,23,1997-11-23,327862180.0
1997,11,24,1997-11-24,342239300.0
1997,11,25,1997-11-25,357034200.0
1997,11,26,1997-11-26,372271680.0
1997,11,27,1997-11-27,387978240.0
